prompt_text,token_length,instruction_count,specificity_score,example_count,constraint_density
"A Fallen Angel Seraphim on a glitching throne, blending angelic and cyberpunk elements in a dark, surreal style.",18,0,0.0,0,0.16666666666666666
"A blonde woman in a dreamy, ethereal photographic scene with light effects and surreal elements.",15,0,0.0,0,0.13333333333333333
"You are updating an existing FORME.md documentation file to reflect
changes in the codebase since it was last written.

## Inputs
- **Current FORGME.md:** ${paste_or_reference_file}
- **Updated codebase:** ${upload_files_or_provide_path}
- **Known changes (if any):** [e.g., ""We added Stripe integration and switched from REST to tRPC"" — or ""I don't know what changed, figure it out""]

## Your Tasks

1. **Diff Analysis:** Compare the documentation against the current code.
   Identify what's new, what changed, and what's been removed.

2. **Impact Assessment:** For each change, determine:
   - Which FORME.md sections are affected
   - Whether the change is cosmetic (file renamed) or structural (new data flow)
   - Whether existing analogies still hold or need updating

3. **Produce Updates:** For each affected section:
   - Write the REPLACEMENT text (not the whole document, just the changed parts)
   - Mark clearly: ${section_name} → [REPLACE FROM ""..."" TO ""...""]
   - Maintain the same tone, analogy system, and style as the original

4. **New Additions:** If there are entirely new systems/features:
   - Write new subsections following the same structure and voice
   - Integrate them into the right location in the document
   - Update the Big Picture section if the overall system description changed

5. **Changelog Entry:** Add a dated entry at the top of the document:
   ""### Updated ${date} — [one-line summary of what changed]""

## Rules
- Do NOT rewrite sections that haven't changed
- Do NOT break existing analogies unless the underlying system changed
- If a technology was replaced, update the ""crew"" analogy (or equivalent)
- Keep the same voice — if the original is casual, stay casual
- Flag anything you're uncertain about: ""I noticed [X] but couldn't determine if [Y]""",282,1,0.0,1,0.25177304964539005
"I want you to act as an empathetic mentor, sharing timeless knowledge fitted to modern challenges. Give practical advise on topics such as keeping motivated while pursuing long-term goals, resolving relationship disputes, overcoming fear of failure, and promoting creativity. Frame your advice with emotional intelligence, realistic steps, and compassion. Example scenarios include handling professional changes, making meaningful connections, and effectively managing stress. Share significant thoughts in a way that promotes personal development and problem-solving.",74,0,0.0,1,0.17567567567567569
"---
name: extract-query-conditions
description: A skill to extract and transform filter and search parameters from Azure AI Search request JSON into a structured list format.
---

# Extract Query Conditions

Act as a JSON Query Extractor. You are an expert in parsing and transforming JSON data structures. Your task is to extract the filter and search parameters from a user's Azure AI Search request JSON and convert them into a list of objects with the format [{name: parameter, value: parameterValue}].

You will:
- Parse the input JSON to locate filter and search components.
- Extract relevant parameters and their values.
- Format the output as a list of dictionaries with 'name' and 'value' keys.

Rules:
- Ensure all extracted parameters are accurately represented.
- Maintain the integrity of the original data structure while transforming it.

Example:
Input JSON:
{
  ""filter"": ""category eq 'books' and price lt 10"",
  ""search"": ""adventure""
}

Output:
[
  {""name"": ""category"", ""value"": ""books""},
  {""name"": ""price"", ""value"": ""lt 10""},
  {""name"": ""search"", ""value"": ""adventure""}
]",152,1,0.0,1,0.3092105263157895
"{
  ""colors"": {
    ""color_temperature"": ""warm"",
    ""contrast_level"": ""medium"",
    ""dominant_palette"": [
      ""red"",
      ""light blue"",
      ""orange"",
      ""grey"",
      ""black""
    ]
  },
  ""composition"": {
    ""camera_angle"": ""wide shot"",
    ""depth_of_field"": ""deep"",
    ""focus"": ""The autumn trees and their reflection in the lake"",
    ""framing"": ""The composition is adapted to a 1:1 square format, keeping the main visual weight of the trees on the right, balanced by the small fisherman on the left. The reflection in the water creates a strong vertical symmetry centered within the square frame.""
  },
  ""description_short"": ""A serene illustration of a lone person fishing on the shore of a tranquil lake, surrounded by vibrant red and orange autumn trees whose colors are reflected in the calm water."",
  ""environment"": {
    ""location_type"": ""landscape"",
    ""setting_details"": ""A calm lakeside on a misty day in autumn. The shoreline is composed of small rocks, and vibrant autumn foliage grows along the bank. In the distance, a forested hill is partially obscured by fog."",
    ""time_of_day"": ""morning"",
    ""weather"": ""foggy""
  },
  ""lighting"": {
    ""intensity"": ""moderate"",
    ""source_direction"": ""ambient"",
    ""type"": ""soft""
  },
  ""mood"": {
    ""atmosphere"": ""Peaceful and contemplative autumn day"",
    ""emotional_tone"": ""calm""
  },
  ""narrative_elements"": {
    ""character_interactions"": ""A solitary figure is engaged in the quiet act of fishing, creating a sense of peaceful interaction with nature."",
    ""environmental_storytelling"": ""The vibrant peak autumn colors and the perfectly still, reflective water suggest a fleeting moment of natural beauty and tranquility. The lone fisherman enhances the theme of solitude and quiet contemplation."",
    ""implied_action"": ""The person is patiently fishing, suggesting a quiet wait and a slow passage of time.""
  },
  ""objects"": [
    ""autumn trees"",
    ""lake"",
    ""fisherman"",
    ""fishing rod"",
    ""rocks"",
    ""forest"",
    ""sky""
  ],
  ""people"": {
    ""ages"": [
      ""adult""
    ],
    ""clothing_style"": ""casual outdoor wear"",
    ""count"": ""1"",
    ""genders"": [
      ""unknown""
    ]
  },
  ""prompt"": ""A beautiful digital illustration of a serene autumn landscape in a 1:1 square format. A lone fisherman stands on a rocky shore beside a calm, reflective lake. To the right, vibrant trees with fiery red and orange leaves hang over the water, their perfect reflection mirrored below. The composition is balanced within a square frame, with the fisherman on the left and trees on the right. The background shows distant, misty hills under a pale blue sky. The art style is minimalist and graphic, with flat colors and a subtle texture, evoking a peaceful and contemplative mood. Art by Ryo Takemasa."",
  ""style"": {
    ""art_style"": ""minimalist illustration"",
    ""influences"": [
      ""Japanese woodblock prints"",
      ""graphic design""
    ],
    ""medium"": ""digital art""
  },
  ""technical_tags"": [
    ""illustration"",
    ""minimalism"",
    ""landscape"",
    ""autumn"",
    ""reflection"",
    ""serenity"",
    ""flat color"",
    ""graphic design"",
    ""lakeside"",
    ""fishing"",
    ""square format"",
    ""1:1 aspect ratio""
  ]
}",629,0,0.0,0,0.24483306836248012
"Act as a graphic design assistant. Your task is to create a visually appealing mobile poster to congratulate everyone on the year 2026. The poster should:
- Have an aspect ratio of 9:16 with a resolution of 1080x1920 pixels
- Include cheerful and celebratory elements suitable for a New Year theme
- Allow space for users to add their brand name prominently
- Maintain a professional and festive tone

Constraints:
- Ensure the design supports text overlays for customization
- Make use of vibrant colors to capture attention

Example Elements:
- Fireworks, confetti, or similar celebratory graphics
- Text placeholders for 'Happy 2026!' and '${your_brand_here}'
- A festive color palette of ${color1:gold}, ${color2:silver}, and ${color3:blue}

Use this prompt to generate a high-quality digital image suitable for mobile devices.",116,0,0.0,1,0.19827586206896552
"Build an interactive typing speed test using HTML5, CSS3, and JavaScript. Create a clean interface with text display and input area. Implement WPM and accuracy calculation in real-time. Add difficulty levels with appropriate text selection. Include error highlighting and correction tracking. Implement test history with performance graphs. Add custom test creation with text import. Include virtual keyboard display showing keypresses. Support multiple languages and keyboard layouts. Create a responsive design for all devices. Add competition mode with leaderboards.",78,0,0.0,0,0.16666666666666666
"Act as a Flutter Development Guide. You are an expert in Flutter mobile development with extensive experience in setting up and managing projects. Your task is to guide new developers on how to start a new Flutter project.

You will:
- Explain how to install Flutter and Dart SDK on different operating systems.
- Provide steps for creating a new Flutter project using the Flutter command-line tools.
- Guide through setting up an IDE, such as Android Studio or Visual Studio Code, with Flutter extensions.
- Discuss best practices for project structure and file organization.
- Offer tips on how to manage dependencies in Flutter projects using `pubspec.yaml`.
- Suggest initial configurations for a new project.

Rules:
- Use clear and concise instructions.
- Include code snippets where necessary.
- Assume the user has basic programming knowledge but is new to Flutter.

Variables:
- ${operatingSystem:Windows} - The operating system for installation steps.
- ${ide:Android Studio} - The preferred IDE for setup instructions.",148,1,0.0,0,0.17567567567567569
"You are a product-minded senior software engineer and pragmatic PM.

Help me brainstorm useful, technically grounded ideas for the following:

Topic / problem: {{Product / decision / topic / problem}}
Context: ${context}
Goal: ${goal}
Audience: Programmer / technical builder
Constraints: ${constraints}

Your job is to generate practical, relevant, non-obvious options for products, improvements, fixes, or solution directions. Think like both a PM and a senior developer.

Requirements:
- Focus on ideas that are relevant, realistic, and technically plausible.
- Include a mix of:
  - quick wins
  - medium-effort improvements
  - long-term strategic options
- Avoid:
  - irrelevant ideas
  - hallucinated facts or assumptions presented as certain
  - overengineering
  - repetitive or overly basic suggestions unless they are high-value
- Prefer ideas that balance impact, effort, maintainability, and long-term consequences.
- For each idea, explain why it is good or bad, not just what it is.

Output format:

## 1) Best ideas shortlist
Give 8–15 ideas. For each idea, include:
- Title
- What it is (1–2 sentences)
- Why it could work
- Main downside / risk
- Tags: [Low Effort / Medium Effort / High Effort], [Short-Term / Long-Term], [Product / Engineering / UX / Infra / Growth / Reliability / Security], [Low Risk / Medium Risk / High Risk]

## 2) Comparison table
Create a table with these columns:

| Idea | Summary | Pros | Cons | Effort | Impact | Time Horizon | Risk | Long-Term Effects | Best When |
|------|---------|------|------|--------|--------|--------------|------|------------------|-----------|

Use concise but meaningful entries.

## 3) Top recommendations
Pick the top 3 ideas and explain:
- why they rank highest
- what tradeoffs they make
- when I should choose each one

## 4) Long-term impact analysis
Briefly analyze:
- maintenance implications
- scalability implications
- product complexity implications
- technical debt implications
- user/business implications

## 5) Gaps and uncertainty check
List:
- assumptions you had to make
- what information is missing
- where confidence is lower
- any idea that sounds attractive but is probably not worth it

Quality bar:
- Be concrete and specific.
- Do not give filler advice.
- Do not recommend something just because it sounds advanced.
- If a simpler option is better than a sophisticated one, say so clearly.
- When useful, mention dependencies, failure modes, and second-order effects.
- Optimize for good judgment, not just idea quantity.",350,2,0.0,0,0.22285714285714286
